journey_id;trip_id;journey_start_datetime;journey_start_date;journey_start_time;journey_start_lon;journey_start_lat;journey_start_insee;journey_start_postalcode;journey_start_department;journey_start_town;journey_start_towngroup;journey_start_country;journey_end_datetime;journey_end_date;journey_end_time;journey_end_lon;journey_end_lat;journey_end_insee;journey_end_postalcode;journey_end_department;journey_end_town;journey_end_towngroup;journey_end_country;passenger_seats;operator_class;journey_distance;journey_duration;has_incentive
5492402;5a280bc3-f42d-4d3b-9554-c6fe5322edb5;2022-01-01T00:00:00+01:00;2022-01-01;00:00:00;1.68;49.00;78361;78200;78;Mantes-la-Jolie (78);Ile-De-France Mobilites;France;2022-01-01T01:00:00+01:00;2022-01-01;01:00:00;2.10;49.04;95572;95310;95;Saint-Ouen-l'Aumône (95);Ile-De-France Mobilites;France;1;C;43572;64;OUI
5511504;0c1fd78a-9373-4c32-85d6-0dd327f6b641;2022-01-01T00:00:00+01:00;2022-01-01;00:00:00;2.21;48.78;92048;92190;92;Meudon (92);Ile-De-France Mobilites;France;2022-01-01T00:40:00+01:00;2022-01-01;00:40:00;1.97;48.97;78642;78480;78;Verneuil-sur-Seine (78);Ile-De-France Mobilites;France;1;C;43005;36;OUI
5511507;34a4ae31-2430-4c66-b01b-21807eca71cd;2022-01-01T00:10:00+01:00;2022-01-01;00:10:00;2.23;48.73;91312;91430;91;Igny (91);Ile-De-France Mobilites;France;2022-01-01T00:40:00+01:00;2022-01-01;00:40:00;2.33;48.83;75114;75014;75;Paris 14ème (75);Ile-De-France Mobilites;France;1;B;20379;21;OUI
5492384;2b1deb91-7a3f-4c8e-b83f-5ff2824fa560;2022-01-01T00:10:00+01:00;2022-01-01;00:10:00;2.12;48.80;78646;78000;78;Versailles (78);Ile-De-France Mobilites;France;2022-01-01T00:40:00+01:00;2022-01-01;00:40:00;2.04;48.77;78423;78180;78;Montigny-le-Bretonneux (78);Ile-De-France Mobilites;France;1;C;10054;20;OUI
5492380;dba21e7b-e2cc-44c2-a1ff-1482c57ce6b7;2022-01-01T00:20:00+01:00;2022-01-01;00:20:00;2.52;48.69;91215;91860;91;Épinay-sous-Sénart (91);Ile-De-France Mobilites;France;2022-01-01T00:20:00+01:00;2022-01-01;00:20:00;2.49;48.69;91114;91800;91;Brunoy (91);Ile-De-France Mobilites;France;1;C;2779;9;OUI
5511509;5bfd59b3-4adc-4832-84f5-376442b0ed95;2022-01-01T00:20:00+01:00;2022-01-01;00:20:00;2.32;48.70;91161;91380;91;Chilly-Mazarin (91);Ile-De-France Mobilites;France;2022-01-01T01:10:00+01:00;2022-01-01;01:10:00;1.71;48.98;78362;78711;78;Mantes-la-Ville (78);Ile-De-France Mobilites;France;1;C;70450;54;OUI
5492412;5c39c57f-6b8d-438c-ab7d-ec7ef0844cf1;2022-01-01T00:20:00+01:00;2022-01-01;00:20:00;2.27;48.99;95203;95600;95;Eaubonne (95);Ile-De-France Mobilites;France;2022-01-01T01:20:00+01:00;2022-01-01;01:20:00;1.96;48.77;78208;78990;78;Élancourt (78);Ile-De-France Mobilites;France;1;C;48253;62;OUI
5492383;c55beac5-ce56-4179-8ece-7d0e8c46bb41;2022-01-01T00:20:00+01:00;2022-01-01;00:20:00;2.36;48.81;94043;94270;94;Le Kremlin-Bicêtre (94);Ile-De-France Mobilites;France;2022-01-01T00:30:00+01:00;2022-01-01;00:30:00;2.47;48.81;94042;94340;94;Joinville-le-Pont (94);Ile-De-France Mobilites;France;1;C;9293;15;OUI
5492381;dba21e7b-e2cc-44c2-a1ff-1482c57ce6b7;2022-01-01T00:20:00+01:00;2022-01-01;00:20:00;2.52;48.69;91215;91860;91;Épinay-sous-Sénart (91);Ile-De-France Mobilites;France;2022-01-01T00:20:00+01:00;2022-01-01;00:20:00;2.49;48.69;91114;91800;91;Brunoy (91);Ile-De-France Mobilites;France;1;C;2779;9;OUI
5492385;2b1deb91-7a3f-4c8e-b83f-5ff2824fa560;2022-01-01T00:20:00+01:00;2022-01-01;00:20:00;2.12;48.80;78646;78000;78;Versailles (78);Ile-De-France Mobilites;France;2022-01-01T00:40:00+01:00;2022-01-01;00:40:00;2.04;48.77;78423;78180;78;Montigny-le-Bretonneux (78);Ile-De-France Mobilites;France;1;C;10054;20;OUI
